================ Training Loss (Fri Dec 30 10:37:18 2022) ================
(epoch: 1, iters: 100, time: 0.013, data: 0.347) f: 3.487 
(epoch: 2, iters: 10, time: 0.013, data: 0.007) f: 2.129 
(epoch: 2, iters: 110, time: 0.013, data: 0.007) f: 1.934 
(epoch: 3, iters: 20, time: 0.013, data: 0.009) f: 1.573 
(epoch: 3, iters: 120, time: 0.014, data: 0.010) f: 1.610 
(epoch: 4, iters: 30, time: 0.013, data: 0.011) f: 1.467 
(epoch: 4, iters: 130, time: 0.014, data: 0.010) f: 1.483 
(epoch: 5, iters: 40, time: 0.013, data: 0.011) f: 1.415 
(epoch: 5, iters: 140, time: 0.013, data: 0.009) f: 1.178 
(epoch: 6, iters: 50, time: 0.014, data: 0.010) f: 1.293 
(epoch: 6, iters: 150, time: 0.013, data: 0.013) f: 1.330 
(epoch: 7, iters: 60, time: 0.014, data: 0.010) f: 1.552 
(epoch: 7, iters: 160, time: 0.013, data: 0.007) f: 1.285 
(epoch: 8, iters: 70, time: 0.014, data: 0.011) f: 1.107 
(epoch: 8, iters: 170, time: 0.014, data: 0.006) f: 1.288 
(epoch: 9, iters: 80, time: 0.014, data: 0.009) f: 0.982 
(epoch: 9, iters: 180, time: 0.014, data: 0.010) f: 1.067 
(epoch: 10, iters: 90, time: 0.014, data: 0.011) f: 1.252 
(epoch: 10, iters: 190, time: 0.013, data: 0.012) f: 1.248 
(epoch: 11, iters: 100, time: 0.014, data: 0.348) f: 0.930 
(epoch: 12, iters: 10, time: 0.013, data: 0.007) f: 0.775 
(epoch: 12, iters: 110, time: 0.014, data: 0.007) f: 1.045 
(epoch: 13, iters: 20, time: 0.013, data: 0.007) f: 1.026 
(epoch: 13, iters: 120, time: 0.014, data: 0.010) f: 1.033 
(epoch: 14, iters: 30, time: 0.014, data: 0.010) f: 0.935 
(epoch: 14, iters: 130, time: 0.014, data: 0.005) f: 0.964 
(epoch: 15, iters: 40, time: 0.014, data: 0.011) f: 0.988 
(epoch: 15, iters: 140, time: 0.013, data: 0.017) f: 1.107 
(epoch: 16, iters: 50, time: 0.013, data: 0.009) f: 1.362 
(epoch: 16, iters: 150, time: 0.014, data: 0.011) f: 1.105 
(epoch: 17, iters: 60, time: 0.014, data: 0.009) f: 0.945 
(epoch: 17, iters: 160, time: 0.013, data: 0.007) f: 0.935 
(epoch: 18, iters: 70, time: 0.014, data: 0.007) f: 1.019 
(epoch: 18, iters: 170, time: 0.014, data: 0.007) f: 1.220 
(epoch: 19, iters: 80, time: 0.014, data: 0.012) f: 0.903 
(epoch: 19, iters: 180, time: 0.014, data: 0.013) f: 0.980 
(epoch: 20, iters: 90, time: 0.013, data: 0.007) f: 1.176 
(epoch: 20, iters: 190, time: 0.013, data: 0.005) f: 0.862 
(epoch: 21, iters: 100, time: 0.014, data: 0.353) f: 0.770 
(epoch: 22, iters: 10, time: 0.013, data: 0.010) f: 0.979 
(epoch: 22, iters: 110, time: 0.014, data: 0.009) f: 1.236 
(epoch: 23, iters: 20, time: 0.014, data: 0.009) f: 0.800 
(epoch: 23, iters: 120, time: 0.013, data: 0.009) f: 0.750 
(epoch: 24, iters: 30, time: 0.014, data: 0.008) f: 0.982 
(epoch: 24, iters: 130, time: 0.013, data: 0.006) f: 1.200 
(epoch: 25, iters: 40, time: 0.014, data: 0.008) f: 0.802 
(epoch: 25, iters: 140, time: 0.013, data: 0.008) f: 0.778 
(epoch: 26, iters: 50, time: 0.013, data: 0.008) f: 0.875 
(epoch: 26, iters: 150, time: 0.014, data: 0.007) f: 0.854 
(epoch: 27, iters: 60, time: 0.013, data: 0.010) f: 0.985 
(epoch: 27, iters: 160, time: 0.013, data: 0.005) f: 0.855 
(epoch: 28, iters: 70, time: 0.014, data: 0.009) f: 0.613 
(epoch: 28, iters: 170, time: 0.014, data: 0.005) f: 0.664 
(epoch: 29, iters: 80, time: 0.014, data: 0.009) f: 0.848 
(epoch: 29, iters: 180, time: 0.013, data: 0.007) f: 0.698 
(epoch: 30, iters: 90, time: 0.013, data: 0.012) f: 0.803 
(epoch: 30, iters: 190, time: 0.013, data: 0.006) f: 0.691 
(epoch: 31, iters: 100, time: 0.014, data: 0.369) f: 0.647 
